Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
1514,Estimates,Low-income countries,j,1500,,,911.0,Income Group,1802,2020.0,689539.688,699186.538,348833.529,350353.009,47.603,99.566,17.439,19016.399,27.198,19293.7,2.76,25.114,24471.629,3683.061,35,4.69,2.051,29.195,103.7,5455.23,2943.077,2512.153,7.802,62.913,60.573,65.295,53.441,51.306,55.581,13.117,12.203,13.902,5.759,5.177,6.157,1108.813,45.449,23566.125,1590.59,66.243,159.44,178.64,139.599,311.031,352.493,268.895,142.914,167.4,118.014,247.742,288.327,207.115,277.23,0.397
1586,Estimates,No income group available,,1518,,,,Income Group,1802,2020.0,29268.153,29134.878,14464.883,14669.995,24.357,98.602,27.889,254.81,8.67,-266.549,-0.915,...,476.642,106.291,16.218,2.234,1.054,26.382,105.4,221.832,129.419,92.413,7.548,71.11,66.816,75.779,57.725,53.511,62.285,15.64,13.858,17.239,6.248,5.268,6.935,7.624,15.938,469.937,9.174,18.865,93.74,134.703,48.957,195.876,258.588,128.248,107.365,154.88,55.927,177.014,239.067,110.431,-521.295,-17.737
1659,Estimates,AFRICA,,903,,,2.0,Region,1840,2020.0,1344069.83,1360677.231,679360.412,681316.818,46.045,99.713,18.568,33416.841,24.554,33214.801,2.441,28.396,44807.257,6454.953,32.924,4.361,1.889,29.01,103.6,11390.416,6055.7,5334.716,8.37,62.234,60.294,64.214,52.973,51.163,54.8,13.05,12.096,13.91,5.875,5.265,6.345,2073.333,46.378,43146.702,2992.756,67.727,165.773,178.187,153.057,324.79,358.141,291.067,149.171,166.288,131.782,259.488,292.627,226.358,-202.152,-0.149
1731,Estimates,Eastern Africa,,910,,,14.0,Subregion,903,2020.0,443356.996,449292.465,222751.645,226540.82,67.537,98.327,17.455,11946.787,26.583,11870.938,2.642,26.236,15106.572,2419.586,33.614,4.315,1.928,28.965,103.4,3159.785,1725.937,1433.848,7.031,63.713,61.184,66.299,53.134,50.796,55.494,13.291,12.223,14.242,6.127,5.433,6.65,576.571,38.256,14623.119,795.027,53.424,143.075,162.4,123.623,313.688,359.337,267.607,149.933,176.938,122.923,264.003,308.818,219.377,-75.868,-0.169
1803,Estimates,Burundi,,108,BDI,BI,108.0,Country/Area,910,2020.0,12053.897,12220.227,6066.599,6153.627,470.914,98.586,15.438,342.841,28.041,332.659,2.722,25.465,435.303,33.884,35.603,5.177,2.247,30.702,102.4,92.462,49.354,43.108,7.562,61.566,59.465,63.675,51.717,49.863,53.542,12.545,11.749,13.204,5.387,4.945,5.69,16.801,38.648,421.064,23.578,54.485,173.325,191.762,154.561,338.689,376.504,300.405,166.902,188.792,144.996,279.808,316.134,243.591,-10.186,-0.833
1875,Estimates,Comoros,,174,COM,KM,174.0,Country/Area,910,2020.0,798.326,806.166,404.903,401.263,433.19,100.907,19.859,17.45,21.622,15.68,1.945,35.637,24.128,2.347,29.896,4.052,1.814,30.596,103.2,6.678,3.716,2.962,8.274,64.166,61.975,66.593,53.884,51.883,56.107,12.217,11.183,13.277,5.238,4.782,5.653,1.132,46.893,23.208,1.452,60.341,123.688,137.049,110.117,280.699,318.584,239.529,112.172,129.025,94.601,226.113,262.788,186.394,-1.772,-2.196
1947,Estimates,Djibouti,,262,DJI,DJ,262.0,Country/Area,910,2020.0,1082.344,1090.156,541.471,548.686,47.03,98.685,23.496,14.882,13.656,15.624,1.433,48.37,24.496,1.286,22.477,2.848,1.245,31.342,103.8,9.614,5.315,4.299,8.821,62.694,60.071,65.461,52.79,50.522,55.147,12.835,11.933,13.68,5.47,4.979,5.875,0.969,39.584,23.678,1.37,56.13,160.969,185.329,135.692,316.402,362.962,268.125,151.098,178.814,122.941,257.695,301.584,213.047,0.744,0.683
2019,Estimates,Eritrea,,232,ERI,ER,232.0,Country/Area,910,2020.0,3523.653,3555.868,1753.513,1802.355,29.352,97.29,17.965,79.405,22.282,64.43,1.812,38.253,102.3,13.514,28.706,3.933,1.789,29.498,103.2,22.895,12.181,10.715,6.424,67.133,64.862,69.337,55.828,53.899,57.644,14.14,13.284,14.853,6.139,5.642,6.503,3.034,29.694,99.651,3.982,39.224,120.388,138.955,101.347,245.7,281.315,211.47,116.225,135.228,97.713,202.094,234.245,172.033,-14.987,-4.205
2091,Estimates,Ethiopia,,231,ETH,ET,231.0,Country/Area,910,2020.0,115638.36,117190.911,58906.55,58284.361,117.191,101.068,18.267,3066.231,26.164,3105.102,2.65,26.156,3841.565,459.385,32.78,4.243,1.891,29.571,105.5,775.334,445.114,330.221,6.616,65.371,62.517,68.426,54.816,52.402,57.36,13.649,12.677,14.584,5.853,5.327,6.309,135.752,35.418,3725.142,183.993,48.889,136.069,162.038,108.594,271.843,319.768,221.681,126.398,154.438,97.527,219.831,263.664,174.956,38.867,0.332
2163,Estimates,Kenya,,404,KEN,KE,404.0,Country/Area,910,2020.0,51460.211,51985.78,25780.698,26205.082,89.518,98.381,18.926,1068.235,20.542,1051.138,2.022,34.28,1455.947,189.799,27.998,3.397,1.537,28.519,102.2,387.712,207.704,180.008,7.456,62.675,60.372,65.062,50.886,48.607,53.239,14.292,13.081,15.306,7.493,6.675,7.995,44.257,30.444,1417.397,60.642,41.938,151.941,165.103,138.59,378.137,421.839,332.369,205.5,231.524,178.485,345.065,389.647,298.533,-17.106,-0.329
